,Unnamed: 0,Date & Time,User IP,Method,Url,Query String,Agent IP,Browser Type,OS,Url_Category,Agent_IP_Category,Login Type,HTTP Status,Test1,Win 32 Status,Sub Status,Cluster Names
70,458,2015-03-01 00:03:00,118.244.228.205,GET,/wap/next.asp,comicId=12483&chapterId=135548&_=1425168167897,101.85.143.70,Mozilla,0,29,64,1,200,0,0,101,3
71,569,2015-03-01 00:03:24,118.244.228.205,GET,/wap/next.asp,comicId=12554&chapterId=138863&_=1425167770020,111.30.141.47,Mozilla,0,29,167,1,200,0,64,68,3
72,571,2015-03-01 00:03:24,118.244.228.205,GET,/wap/init.asp,comicId=12554&chapterId=138864&_=1425167770021,111.30.141.47,Mozilla,0,21,167,1,200,0,0,69,3
73,575,2015-03-01 00:03:24,118.244.228.205,GET,/wap/load.asp,comicId=12554&chapterId=138864&imageId=3&_=1425167770025,123.151.139.156,Mozilla,0,26,518,1,200,0,64,103,5
74,620,2015-03-01 00:03:35,118.244.228.205,GET,/wap/read.asp,chapterId=142911&comicId=12554,111.30.141.47,Mozilla,0,31,167,1,200,0,64,154,3
75,629,2015-03-01 00:03:36,118.244.228.205,GET,/wap/lastread.asp,comicId=12554&chapterId=142911&_=1425168216467,111.30.141.47,Mozilla,0,23,167,1,200,0,0,66,3
76,714,2015-03-01 00:03:51,118.244.228.205,GET,/wap/next.asp,comicId=12332&chapterId=128015&_=1425168101954,42.92.163.9,Mozilla,1,29,1079,1,200,0,0,106,4
77,731,2015-03-01 00:03:54,118.244.228.205,GET,/wap/next.asp,comicId=12535&chapterId=138413&_=1425168162340,223.104.21.149,Mozilla,1,29,1008,1,200,0,0,317,4
78,755,2015-03-01 00:03:57,118.244.228.205,GET,/wap/info.asp,id=12535,223.104.21.149,Mozilla,1,20,1008,1,200,0,0,397,4
79,777,2015-03-01 00:04:03,118.244.228.205,GET,/wap/read.asp,chapterId=137152&comicId=12516,112.64.235.246,Mozilla,2,31,184,0,200,0,0,259,3
80,795,2015-03-01 00:04:07,118.244.228.205,GET,/wap/read.asp,chapterId=138998&comicId=12450,115.197.218.80,Mozilla,1,31,310,1,200,0,0,216,1
81,797,2015-03-01 00:04:07,118.244.228.205,GET,/wap/lastread.asp,comicId=12450&chapterId=138998&_=1425168252358,115.197.218.80,Mozilla,1,23,310,1,200,0,0,128,1
82,813,2015-03-01 00:04:11,118.244.228.205,GET,/wap/next.asp,comicId=12487&chapterId=135829&_=1425168269432,183.195.233.90,Mozilla,0,29,874,1,200,0,64,113,2
83,815,2015-03-01 00:04:13,118.244.228.205,GET,/wap/next.asp,comicId=12286&chapterId=124307&_=1425167388052,183.232.118.14,Mozilla,0,29,880,1,200,0,64,103,2
84,816,2015-03-01 00:04:13,118.244.228.205,GET,/wap/init.asp,comicId=12286&chapterId=124308&_=1425167388053,183.232.118.14,Mozilla,0,21,880,1,200,0,0,107,2
85,837,2015-03-01 00:04:14,118.244.228.205,GET,/wap/load.asp,comicId=12448&chapterId=133497&imageId=5&_=1425140222728,123.151.42.52,Mozilla,0,26,529,1,200,0,64,66,5
86,851,2015-03-01 00:04:18,118.244.228.205,GET,/wap/next.asp,comicId=12626&chapterId=141556&_=1425168100382,120.196.212.23,Mozilla,0,29,457,1,200,0,64,118,1
87,871,2015-03-01 00:04:22,118.244.228.205,GET,/wap/info.asp,id=12486,101.226.66.175,Mozilla,1,20,35,1,200,0,0,140,3
88,872,2015-03-01 00:04:22,118.244.228.205,GET,/wap/next.asp,comicId=12630&chapterId=141771&_=1425166117808,114.234.135.92,Mozilla,1,29,276,1,200,0,0,193,1
89,874,2015-03-01 00:04:23,118.244.228.205,GET,/wap/init.asp,comicId=12630&chapterId=141772&_=1425166117809,114.234.135.92,Mozilla,1,21,276,1,200,0,0,176,1
90,902,2015-03-01 00:04:28,118.244.228.205,GET,/wap/is.asp,-,111.161.52.28,Mozilla,0,22,142,1,200,0,0,63,3
91,909,2015-03-01 00:04:29,118.244.228.205,GET,/wap/list.asp,-,120.196.212.23,Mozilla,0,24,457,1,200,0,0,94,1
92,923,2015-03-01 00:04:31,118.244.228.205,GET,/wap/list_ajax.asp,page=1,120.196.212.23,Mozilla,0,25,457,1,200,0,0,109,1
93,950,2015-03-01 00:04:36,118.244.228.205,GET,/wap/info.asp,id=12554,59.44.12.45,Mozilla,1,20,1190,1,200,0,0,127,4
