,Date & Time,User IP,Method,Url,Query String,Agent IP,Browser Type,OS,Url_Category,Agent_IP_Category,Login Type,HTTP Status,Test1,Win 32 Status,Sub Status
2318,2015-03-01 00:09:55,118.244.228.205,GET,/wap/init.asp,comicId=12337&chapterId=124515&_=1425168846765,113.64.14.21,Mozilla,0,21,255,1,200,0,0,115
2319,2015-03-01 00:09:55,118.244.228.205,GET,/wap/lastread.asp,comicId=12337&chapterId=124515&_=1425168846766,113.64.14.21,Mozilla,0,23,255,1,200,0,0,121
2320,2015-03-01 00:09:56,118.244.228.205,GET,/wap/load.asp,comicId=12337&chapterId=124515&imageId=1&_=1425168846768,113.64.14.21,Mozilla,0,26,255,1,200,0,0,98
2326,2015-03-01 00:09:57,118.244.228.205,GET,/wap/info.asp,id=12535,123.151.153.35,Mozilla,0,20,519,1,200,0,0,98
2334,2015-03-01 00:10:00,118.244.228.205,GET,/wap/read.asp,chapterId=131213&comicId=12397,111.161.61.49,Mozilla,0,31,147,1,200,0,64,133
2342,2015-03-01 00:10:03,118.244.228.205,GET,/wap/lastread.asp,comicId=12397&chapterId=131213&_=1425168612013,111.161.61.49,Mozilla,0,23,147,1,200,0,0,57
2343,2015-03-01 00:10:03,118.244.228.205,GET,/wap/init.asp,comicId=12397&chapterId=131213&_=1425168612012,111.161.61.49,Mozilla,0,21,147,1,200,0,0,58
2344,2015-03-01 00:10:03,118.244.228.205,GET,/wap/load.asp,comicId=12397&chapterId=131213&imageId=0&_=1425168612014,111.161.61.49,Mozilla,0,26,147,1,200,0,64,77
2360,2015-03-01 00:10:08,118.244.228.205,GET,/wap/info.asp,id=12337,113.64.14.21,Mozilla,0,20,255,1,200,0,0,144
2396,2015-03-01 00:10:15,118.244.228.205,GET,/wap/info.asp,id=12364,111.30.132.208,Mozilla,0,20,165,1,200,0,64,115
2420,2015-03-01 00:10:20,118.244.228.205,GET,/wap/info.asp,id=12337&page=11,129.82.193.145,Mozilla,0,20,597,1,200,0,0,599
2443,2015-03-01 00:10:26,118.244.228.205,GET,/wap/next.asp,comicId=12654&chapterId=142724&_=1425168315057,180.108.87.156,Mozilla,0,29,795,1,200,0,0,96
2446,2015-03-01 00:10:26,118.244.228.205,GET,/wap/init.asp,comicId=12654&chapterId=142725&_=1425168315058,180.108.87.156,Mozilla,0,21,795,1,200,0,0,100
2463,2015-03-01 00:10:28,118.244.228.205,GET,/wap/info.asp,id=12664,211.136.233.161,Mozilla,0,20,919,1,200,0,64,121
2478,2015-03-01 00:10:32,118.244.228.205,GET,/wap/read.asp,chapterId=143257&comicId=12664,211.136.233.161,Mozilla,0,31,919,1,200,0,0,179
2479,2015-03-01 00:10:33,118.244.228.205,GET,/wap/init.asp,comicId=12664&chapterId=143257&_=1425168643957,211.136.233.161,Mozilla,0,21,919,1,200,0,0,116
2480,2015-03-01 00:10:33,118.244.228.205,GET,/wap/lastread.asp,comicId=12664&chapterId=143257&_=1425168643958,211.136.233.161,Mozilla,0,23,919,1,200,0,64,113
2484,2015-03-01 00:10:34,118.244.228.205,GET,/wap/load.asp,comicId=12664&chapterId=143257&imageId=0&_=1425168643959,211.136.233.161,Mozilla,0,26,919,1,200,0,64,126
2495,2015-03-01 00:10:35,118.244.228.205,GET,/wap/read.asp,chapterId=131217&comicId=12397,180.153.114.197,Mozilla,1,31,801,1,200,0,0,205
2523,2015-03-01 00:10:44,118.244.228.205,GET,/wap/read.asp,chapterId=131219&comicId=12397,112.65.193.16,Mozilla,1,31,201,1,200,0,0,255
2540,2015-03-01 00:10:48,118.244.228.205,GET,/wap/read.asp,chapterId=123992&comicId=12335,111.30.132.208,Mozilla,0,31,165,1,200,0,0,191
2542,2015-03-01 00:10:48,118.244.228.205,GET,/wap/info.asp,id=12554,117.136.7.175,Mozilla,1,20,356,1,200,0,0,2311
2543,2015-03-01 00:10:48,118.244.228.205,GET,/wap/read.asp,chapterId=123992&comicId=12335,112.64.235.254,Mozilla,2,31,192,0,200,0,0,251
